State,Maize,Rice,Sorghum,Millet
Abia,17.406,11.2024,0.0,0.0
Adamawa,17.9951,11.9157,12.4054,11.1557
Akwa Ibom,17.406,11.2024,0.0,0.0
Anambra,17.9951,11.9157,12.4054,0.0
Bauchi,17.9951,11.9157,12.4054,11.1557
Bayelsa,17.406,11.2024,13.5131,0.0
Benue,17.9951,11.9157,12.4054,11.1557
Borno,17.194,10.935,12.2063,8.25528
Cross River,17.406,11.2024,0.0,0.0
Delta,17.406,11.2024,13.5131,0.0
Ebonyi,17.9951,11.9157,12.4054,0.0
Edo,17.9951,11.9157,0.0,0.0
Ekiti,17.9951,11.9157,12.4054,0.0
Enugu,17.9951,11.9157,12.4054,0.0
Abuja Federal Capital Territory,17.9951,11.9157,12.4054,11.1557
Gombe,17.9951,11.9157,12.4054,11.1557
Imo,17.406,11.2024,13.5131,0.0
Jigawa,17.194,10.935,12.2063,8.25528
Kaduna,15.7169,11.9157,12.4054,11.1557
Kano,15.3427,10.935,12.2063,8.25528
Katsina,17.194,10.935,12.2063,8.25528
Kebbi,17.9951,11.9157,12.4054,11.1557
Kogi,17.9951,11.9157,12.4054,11.1557
Kwara,17.9951,11.9157,12.4054,11.1557
Lagos,17.9951,11.9157,0.0,0.0
Nasarawa,17.9951,11.9157,12.4054,11.1557
Niger,17.9951,11.9157,12.4054,11.1557
Ogun,17.9951,11.9157,0.0,0.0
Ondo,17.9951,11.9157,12.4054,11.1557
Osun,17.9951,11.9157,12.4054,11.1557
Oyo,17.9951,11.9157,12.4054,11.1557
Plateau,17.9951,11.9157,12.4054,11.1557
Rivers,17.406,11.2024,0.0,0.0
Sokoto,15.3427,10.935,12.2063,8.25528
Taraba,17.9951,11.9157,12.4054,11.1557
Yobe,17.194,10.935,12.2063,8.25528
Zamfara,17.194,10.935,12.2063,8.25528
